Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,534924,815951,527584,444039
2005-02-01,547566,813352,529448,447721
2005-03-01,558586,818406,533383,445895
2005-04-01,565313,825530,537837,454805
2005-05-01,566024,840415,545102,460324
2005-06-01,585758,858431,555555,462406
2005-07-01,597258,873585,565348,470353
2005-08-01,603847,889785,574306,478211
2005-09-01,611100,903892,581163,480113
2005-10-01,611800,913602,585763,484730
2005-11-01,617797,921539,591448,490992
2005-12-01,621103,921211,593209,492277
2006-01-01,612810,923027,593595,497062
2006-02-01,622495,925585,597836,503993
2006-03-01,618822,917493,593546,501683
2006-04-01,618488,920870,596045,502929
2006-05-01,628960,924502,599779,506215
2006-06-01,635487,932294,603347,506409
2006-07-01,643897,941461,610133,515559
2006-08-01,650536,945558,614162,521609
2006-09-01,662263,952373,618042,522410
2006-10-01,660425,953338,619168,527331
2006-11-01,661345,957445,621675,530012
2006-12-01,669861,952994,621711,528693
2007-01-01,672111,948841,619793,527560
2007-02-01,663568,940874,614240,527208
2007-03-01,659715,930986,609204,523254
2007-04-01,661075,947308,612571,521261
2007-05-01,658898,960464,613683,515543
2007-06-01,658545,973895,615200,516441
2007-07-01,658200,980253,615937,515587
2007-08-01,659129,989441,617673,513081
2007-09-01,657061,996062,618519,510924
2007-10-01,657067,1004443,619163,511574
2007-11-01,660148,1011190,620050,507189
2007-12-01,658522,1010549,618835,505554
2008-01-01,651696,1008372,613324,498349
2008-02-01,647078,1014653,612654,495876
2008-03-01,641828,1016939,609978,492775
2008-04-01,635369,1013865,605575,488271
2008-05-01,632170,1019205,605276,485343
2008-06-01,631125,1023342,605306,484199
2008-07-01,631727,1025899,604577,482478
2008-08-01,632450,1022541,602004,478153
2008-09-01,630170,1019329,599368,477609
2008-10-01,628081,1016354,596568,476218
2008-11-01,620430,1009927,590187,473231
2008-12-01,613350,998379,584131,469990
2009-01-01,597870,985793,573589,464005
2009-02-01,588929,971357,564349,454578
2009-03-01,586524,961385,556997,446757
2009-04-01,577381,935497,547928,443811
2009-05-01,576894,924308,543185,443219
2009-06-01,568640,911034,536206,437043
2009-07-01,567642,900482,532498,433347
2009-08-01,563539,891116,529355,430872
2009-09-01,563575,890940,527062,426639
2009-10-01,559133,887320,524322,423376
2009-11-01,554229,879864,521885,421220
2009-12-01,543856,878075,519921,420901
2010-01-01,543084,878834,518349,417843
2010-02-01,541928,880813,516577,414384
2010-03-01,538813,877210,515325,414792
2010-04-01,536509,878750,514644,414025
2010-05-01,538784,880890,516227,416213
2010-06-01,541710,884119,518072,417531
2010-07-01,537139,885246,516259,416054
2010-08-01,533520,890086,515368,415337
2010-09-01,533626,893272,514481,413545
2010-10-01,533934,890139,512128,410754
2010-11-01,529972,889528,509760,408956
2010-12-01,523985,887472,507334,405427
2011-01-01,524695,888560,507320,407568
2011-02-01,527792,884938,506962,405440
2011-03-01,529216,881363,506551,405787
2011-04-01,529279,885025,506915,403922
2011-05-01,524535,887830,506169,406756
2011-06-01,526627,889477,507324,407084
2011-07-01,528440,892941,507472,406574
2011-08-01,529102,891254,506860,404136
2011-09-01,526443,894212,506675,403784
2011-10-01,522237,896463,504647,399662
2011-11-01,524968,888211,503156,399170
2011-12-01,524216,894006,504505,401246
2012-01-01,527040,894080,504135,400796
2012-02-01,528669,893790,504161,400483
2012-03-01,529046,897308,504126,400029
2012-04-01,531088,889971,503437,400458
2012-05-01,529749,895408,504301,400132
